SalesId,SalesDate,ProductId,CityId,Price,Quantity
1,2017-02-13,1,10,4.2,1
2,2018-05-13,1,7,4.2,2
3,2018-05-07,2,9,7.0,1
4,2018-11-07,1,10,4.3,2
5,2017-11-25,2,1,7.1,1
6,2018-08-03,1,5,4.2,1
7,2018-08-20,1,1,4.1,1
8,2018-03-20,1,3,4.0,1
9,2017-01-02,3,8,9.99,1
10,2018-04-13,1,8,4.4,1
11,2018-05-14,2,7,7.2,1
12,2018-01-07,2,8,7.3,1
13,2017-08-12,3,2,9.89,1
14,2018-05-05,1,9,4.2,1
15,2018-04-15,3,1,9.89,2
16,2017-10-10,2,10,7.0,1
17,2017-04-22,1,5,4.0,1
18,2017-09-27,1,2,4.3,1
19,2018-09-26,1,1,4.5,2
20,2017-01-17,3,10,9.49,1
21,2017-04-24,1,6,4.0,1
22,2018-04-15,2,7,7.3,1
23,2017-04-12,1,3,4.4,3
24,2018-09-27,3,7,9.99,1
25,2017-07-11,1,5,4.0,2
